的	〔白勹丶󰁶・rqyy〕
迅	〔⺄十辶󰀵・nfpk〕
刻	〔亠ㄥ丿刂・yntj〕
靠	〔丿土口三・tfkd〕
察	〔宀󰁯二小・pwfi〕
逐	〔一󰀓辶󰀦・gepi〕
央	〔ㄇ大󰀦・mdi〕
待	〔彳土寸󰁶・tffy〕
母	〔母󰄃𠃌丶・xnny〕
境	〔土立日儿・fujq〕
激	〔氵白方夂・iryt〕
渤	〔氵十冖力・ifpe〕
模	〔木艹日大・sajd〕
控	〔扌宀八工・rpwa〕
卫	〔ㄗ一󰀌・bgd〕
久	〔ク󰂃󰀦・qyi〕
印	〔󰁚一卩󰀢・qgbh〕
房	〔丶尸方󰀏・ynye〕
停	〔亻亠口丁・wyks〕
甚	〔艹三八󰄃・adwn〕
皮	〔󰅌又󰀦・hci〕
洲	〔氵丶丿丨・iyth〕
搞	〔扌亠口口・rykk〕
息	〔丿目心󰁧・thnu〕
移	〔禾夕夕󰁶・tqqy〕
旧	〔丨日󰀝・hjg〕
拿	〔人一口手・wgkr〕
若	〔艹口󰀘・adkf〕
顶	〔丁丆贝󰁶・sdmy〕
短	〔𠂉大一䒑・tdgu〕
湖	〔氵古月󰀝・ideg〕
括	〔扌丿古󰀝・rtdg〕
挥	〔扌冖车󰀢・rplh〕
侵	〔亻彐冖又・wvpc〕
甲	〔甲丨󰁈丨・lhnh〕
游	〔氵方𠂉子・iytb〕
语	〔讠五口󰀝・ygkg〕
冷	〔冫人丶󰁻・uwyc〕
普	〔䒑󰅊一日・uogj〕
银	〔钅彐󰀖󰁶・qvey〕
乐	〔丿󰄃小󰀦・tnii〕
医	〔匚𠂉大󰀦・atdi〕
烧	〔火弋丿儿・oatq〕
刘	〔文刂󰀢・yjh〕
吗	〔口󰀊一󰀝・kcgg〕
针	〔钅十󰀢・qfh〕
纸	〔纟󰁚弋󰁀・xqan〕
粉	〔米八刀ノ・owvt〕
散	〔󰁺月夂󰁶・aety〕
急	〔⺈彐心󰁧・qvnu〕
预	〔󰁻乛亅贝・cnhm〕
扩	〔扌广ノ・rot〕
愿	〔厂白小心・drin〕
核	〔木亠ㄥ人・synw〕
吧	〔口巴󰁀・kcn〕
龙	〔ヒ丶󰀦・dxyi〕
误	〔讠口一大・ykgd〕
欢	〔又⺈人󰁶・cqwy〕
孩	〔孑亠ㄥ人・bynw〕
盐	〔土卜皿󰀘・fhlf〕
善	〔䒑󰀟䒑口・uguk〕
雨	〔雨一丨丶・fghy〕
货	〔亻ヒ贝󰁧・wxmu〕
讨	〔讠寸󰁶・yfy〕
测	〔氵贝刂󰀢・imjh〕
丝	〔󰁲󰁲一󰀘・xxgf〕
室	〔宀一厶土・pgcf〕
混	〔氵日󰁴匕・ijxx〕
弹	〔弓丷󰅐󰀢・xulh〕
乎	〔丿丷󰀛󰀵・tufk〕
鲜	〔󰁢󰀞䒑󰀟・qgug〕
晚	〔日⺈口󰁜・jqkq〕
乱	〔丿古乚󰁀・tdnn〕
沙	〔氵小丿ノ・iitt〕
序	〔广󰁻乛亅・ocnh〕
缺	〔󰅎山󰁄人・rmnw〕
获	〔艹犭ノ丶・aqty〕
读	〔讠十乛大・yfnd〕
鲁	〔󰁢一日󰀘・qgjf〕
载	〔土车󰅅丶・flxy〕
渐	〔氵车斤󰀢・ilrh〕
父	〔八乂󰁧・wru〕
啊	〔口阝丁口・kbsk〕
演	〔氵宀一八・ipgw〕
刚	〔冂乂刂󰀢・mrjh〕
守	〔宀寸󰁧・pfu〕
宁	〔宀丁󰀬・psj〕
杀	〔乂木󰁧・rsu〕
谓	〔讠田月󰀝・yleg〕
刑	〔一廾刂󰀢・gajh〕
附	〔阝亻寸󰁶・bwfy〕
担	〔扌日一󰀝・rjgg〕
贵	〔口丨一贝・khgm〕
班	〔王丶丿王・gytg〕
稳	〔禾⺈彐心・tqvn〕
钢	〔钅冂乂󰁶・qmry〕
迫	〔白辶󰀌・rpd〕
答	〔⺮人一口・twgk〕
距	〔口止匚󰁃・khan〕
药	〔艹纟勹丶・axqy〕
假	〔亻󰁃丨又・wnhc〕
毫	〔亠口冖乚・ykpn〕
兰	〔丷三󰀘・udf〕
喜	〔士口䒑口・fkuk〕
练	〔纟󰀂𠃌八・xanw〕
乙	〔乙乙囗囗・nnll〕
酒	〔氵西一󰀝・isgg〕
盾	〔⺁十目󰀌・rfhd〕
困	〔囗木󰀦・lsi〕
买	〔乛󰁦大󰁧・nudu〕
福	〔礻󰁶一田・pygl〕
征	〔彳一止󰀝・tghg〕
阻	〔阝󰀐一󰀝・begg〕
损	〔扌口贝󰁶・rkmy〕
介	〔人󰀯󰀬・wjj〕
剂	〔文󰀯刂󰀢・yjjh〕
穿	〔宀八󰀂丿・pwat〕
钟	〔钅口丨󰀢・qkhh〕
顺	〔川丆贝󰁶・kdmy〕
飞	〔⺄󰁦󰀦・nui〕
丰	〔三丨󰀵・dhk〕
怕	〔忄白󰀝・nrg〕
祖	〔礻󰁶󰀐一・pyeg〕
矛	〔󰁻乛亅丿・cnht〕
执	〔扌九丶󰁶・rvyy〕
星	〔日丿主󰀘・jtgf〕
谁	〔讠亻󰁷󰀝・ywyg〕
血	〔丿皿󰀌・tld〕
背	〔丬匕月󰀘・uxef〕
掌	〔⺌冖口手・ipkr〕
脱	〔月丷口儿・eukq〕
希	〔乂冂丨・rdmh〕
评	〔讠一丷十・yguf〕
沉	〔氵冖几󰁀・ipwn〕
概	〔木彐厶󰁜・svcq〕
跑	〔口止勹巳・khqn〕
熟	〔亠口孑灬・ykbo〕
伤	〔亻𠂉力ノ・wtet〕
衣	〔亠󰀔󰁧・yeu〕
械	〔木戈廾󰀢・saah〕
烟	〔火囗大󰁶・oldy〕
审	〔宀日丨󰀬・pjhj〕
扬	〔扌ㄋ󰁤ノ・rnrt〕
翻	〔丿米田羽・toln〕
秋	〔禾火󰁶・toy〕
露	〔󰀙口止口・fkhk〕
慢	〔忄日罒又・njlc〕
静	〔主月⺈亅・geqh〕
免	〔⺈口󰁜󰀅・qkqb〕
促	〔亻口󰁾󰁶・wkhy〕
践	〔口止二丶・khfy〕
脚	〔月土厶卩・efcb〕
妈	〔女󰀊一󰀝・vcgg〕
补	〔衤󰁧卜󰁶・puhy〕
薄	〔艹氵一寸・aigf〕
牛	〔丿󰀟󰀵・tgk〕
句	〔勹口󰀌・qkd〕
握	〔扌尸一土・rngf〕
编	〔纟丶尸艹・xyna〕
庆	〔广大󰀦・odi〕
亮	〔亠口冖几・ykpw〕
笔	〔⺮丿二乚・ttfn〕
居	〔尸古󰀌・ndd〕
味	〔口二󰅇󰁶・kfiy〕
映	〔日ㄇ大󰁶・jmdy〕
斤	〔斤丿丿丨・rtth〕
培	〔土立口󰀝・fukg〕
松	〔木八厶󰁶・swcy〕
乡	〔󰁲丿󰀏・xte〕
诗	〔讠土寸󰁶・yffy〕
异	〔巳廾󰀬・naj〕
孔	〔孑乚󰁀・bnn〕
顾	〔厂⺋丆贝・dbdm〕
呼	〔口丿丷󰀛・ktuf〕
香	〔禾日󰀘・tjf〕
菜	〔艹爫木󰁧・aesu〕
威	〔厂一女丶・dgvy〕
尼	〔尸匕󰁫・nxv〕
抓	〔扌⺁丨󰂃・rrhy〕
攻	〔工夂󰁶・aty〕
奇	〔大丁口󰀘・dskf〕
倍	〔亻立口󰀝・wukg〕
临	〔〢𠂉丶一・jtyg〕
掉	〔扌󰀥日十・rhjf〕
岁	〔山夕󰁧・mqu〕
脸	〔月人一一・ewgg〕
剧	〔尸古刂󰀢・ndjh〕
哥	〔丁口丁口・sksk〕
延	〔丿止廴󰀌・thpv〕
末	〔一木󰀦・gsi〕
销	〔钅⺌月󰀝・qieg〕
皇	〔白王󰀘・rgf〕
永	〔丶𠃌󰀩󰀦・ynii〕
汽	〔氵󰅎⺄󰁀・irnn〕
景	〔日亠口小・jyki〕
娘	〔女丶彐󰀖・vyve〕
伟	〔亻二𠃌丨・wfnh〕
齐	〔文󰀯󰀬・yjj〕
陆	〔阝󰀟凵󰀢・bgbh〕
赵	〔土󰁾乂󰀦・fhri〕
雷	〔󰀙田󰀘・flf〕
危	〔⺈厂⺋󰀅・qdbb〕
胡	〔古月󰀝・deg〕
聚	〔耳又乑󰁧・bciu〕
硫	〔石亠厶󰀸・dyck〕
束	〔一口󰅇󰀦・gkii〕
轴	〔车由󰀝・lmg〕
套	〔大󰀍厶󰁧・ddcu〕
座	〔广人人土・owwf〕
粮	〔米丶彐󰀖・oyve〕
灯	〔火丁󰀢・osh〕
课	〔讠日木󰁶・yjsy〕
绍	〔纟刀口󰀝・xvkg〕
杨	〔木ㄋ󰁤ノ・snrt〕
怀	〔忄丆卜󰁶・ndhy〕
饭	〔⺈󰁐⺁又・qnrc〕
赶	〔土󰁾干󰀵・fhfk〕
缩	〔纟宀亻日・xpwj〕
额	〔宀夂口贝・ptkm〕
孙	〔孑小󰁶・biy〕
棉	〔木白冂丨・srmh〕
鼓	〔士口䒑又・fkuc〕
宽	〔宀艹ㄇ󰁜・pamq〕
绿	〔纟󰁭氺󰁶・xviy〕
川	〔川丿丨丨・kthh〕
夺	〔大寸󰁧・dfu〕
归	〔リ彐󰀝・jvg〕
灭	〔一火󰀦・goi〕
煤	〔火艹二木・oafs〕
宗	〔宀二小󰁧・pfiu〕
衡	〔彳󰁢大丁・tqds〕
卷	〔䒑大⺋󰀅・udbb〕
盟	〔日月皿󰀘・jelf〕
弱	〔弓冫弓冫・xuxu〕
竟	〔立日儿󰀅・ujqb〕
镇	〔钅十󰀣八・qfhw〕
途	〔人一木辶・wgsp〕
厚	〔厂日子󰀌・djbd〕
触	〔⺈月丨虫・qehj〕
措	〔扌󰁺日󰀝・rajg〕
藏	〔艹厂󰄃丶・adny〕
玉	〔王丶󰀦・gyi〕
哈	〔口人一口・kwgk〕
零	〔󰀙人丶󰁻・fwyc〕
枪	〔木人⺋󰁀・swbn〕
灵	〔彐火󰁧・vou〕
险	〔阝人一一・bwgg〕
款	〔士二小人・ffiw〕
召	〔刀口󰀘・vkf〕
遍	〔丶尸冂辶・ynmp〕
呀	〔口󰀂亅丿・kaht〕
敢	〔󰁈耳夂󰁶・nbty〕
恶	〔一󰅊一心・gogn〕
借	〔亻󰁺日󰀝・wajg〕
歌	〔丁口丁人・sksw〕
脑	〔月亠乂凵・eyrb〕
泽	〔氵又󰀟󰀢・icgh〕
染	〔氵九木󰁧・ivsu〕
庭	〔广丿士廴・otfp〕
唱	〔口日日󰀝・kjjg〕
训	〔讠川󰀢・ykh〕
堂	〔⺌冖口土・ipkf〕
域	〔土戈口󰀞・fakg〕
植	〔木十󰀣󰀝・sfhg〕
欧	〔匚乂⺈人・arqw〕
宪	〔宀丿土儿・ptfq〕
裂	〔一夕刂󰀔・gqje〕
努	〔女又力󰁣・vcer〕
彻	〔彳七刀ノ・tavt〕
探	〔扌冖八木・rpws〕
沿	〔氵几口󰀝・iwkg〕
户	〔丶尸󰀏・yne〕
振	〔扌厂二󰀖・rdfe〕
粒	〔米立󰀝・oug〕
频	〔止󰀤丆贝・hhdm〕
督	〔󰀥一小目・hgih〕
袁	〔土口󰀔󰁧・fkeu〕
垂	〔丿十󰁺一・tfag〕
纯	〔纟一凵乚・xgbn〕
纳	〔纟冂人󰁶・xmwy〕
折	〔扌斤󰀢・rrh〕
操	〔扌口口木・rkks〕
暗	〔日立日󰀝・jujg〕
耐	〔丆冂〢寸・dmjf〕
份	〔亻八刀ノ・wwvt〕
录	〔󰁭氺󰁧・viu〕
卖	〔十乛󰁦大・fnud〕
退	〔彐󰀖辶󰀦・vepi〕
遇	〔日冂丨辶・jmhp〕
茶	〔艹人木󰁧・awsu〕
润	〔氵门王󰀝・iugg〕
肉	〔冂人人󰀦・mwwi〕
康	〔广󰁬氺󰀦・ovii〕
唯	〔口亻󰁷󰀝・kwyg〕
浓	〔氵冖󰀔󰁶・ipey〕
胞	〔月勹巳󰁀・eqnn〕
符	〔⺮亻寸󰁧・twfu〕
雪	〔󰀙彐󰀘・fvf〕
磁	〔石䒑ㄠㄠ・duxx〕
献	〔十冂䒑丶・fmuy〕
船	〔丿󰁪几口・tewk〕
忙	〔忄亠󰄃󰁀・nynn〕
追	〔亻󰁃󰁃辶・wnnp〕
伊	〔亻󰁬丿ノ・wvtt〕
税	〔禾丷口儿・tukq〕
私	〔禾厶󰁶・tcy〕
篇	〔⺮丶尸艹・tyna〕
盘	〔丿󰁪皿󰀘・telf〕
夏	〔丆目夂󰁧・dhtu〕
卡	〔󰀥一卜󰁧・hghu〕
盖	〔丷王皿󰀘・uglf〕
丁	〔丁一亅・sgh〕
季	〔禾子󰀘・tbf〕
迎	〔󰁚卩辶󰀵・qbpk〕
予	〔󰁻乛亅󰀬・cnhj〕
架	〔力口木󰁧・eksu〕
阴	〔阝月󰀝・beg〕
刀	〔刀𠃌丿・vnt〕
阵	〔阝车󰀢・blh〕
瓦	〔一󰁐󰁊丶・gnny〕
野	〔日土󰁻亅・jfch〕
盛	〔厂𠃌󰅅皿・dnxl〕
氢	〔󰅎⺄ス工・rnca〕
削	〔⺌月刂󰀢・iejh〕
伸	〔亻日丨󰀢・wjhh〕
索	〔十冖ㄠ小・fpxi〕
旗	〔方𠂉艹八・ytaw〕
忽	〔勹󰁤心󰁧・qrnu〕
访	〔讠方ノ・yyt〕
累	〔田ㄠ小󰁧・lxiu〕
燃	〔火󰁝大灬・oqdo〕
虑	〔󰅋七心󰀦・hani〕
迹	〔亠󰁖辶󰀦・yopi〕
亦	〔亠󰁖󰁧・you〕
典	〔ㄇ󰁺八󰁧・mawu〕
晶	〔日日日󰀘・jjjf〕
雄	〔厶亻󰁷・dcwy〕
泛	〔氵丿之󰁶・itpy〕
谋	〔讠艹二木・yafs〕
托	〔扌丿七󰁀・rtan〕
透	〔禾乃辶󰀏・tbpe〕
横	〔木󰁺由八・samw〕
屋	〔尸一厶土・ngcf〕
朱	〔󰅎󰅇󰀦・rii〕
惊	〔忄亠口小・nyki〕
奋	〔大田󰀘・dlf〕
替	〔二人二日・fwfj〕
痛	〔疒󰁻月丨・uceh〕
裁	〔土亠󰀔丶・fyey〕
抽	〔扌由󰀝・rmg〕
楚	〔木木乛󰁾・ssnh〕
避	〔尸口立辶・nkup〕
硬	〔石一日乂・dgjr〕
寨	〔宀󰀀八木・paws〕
床	〔广木󰀦・osi〕
旁	〔亠丷冖方・yupy〕
遗	〔口丨一辶・khgp〕
弟	〔丷弓丨丿・uxht〕
洗	〔氵丿土儿・itfq〕
幅	〔冂丨一田・mhgl〕
毒	〔主母󰁧・gxu〕
顿	〔一凵󰁐贝・gbnm〕
尚	〔⺌冂口󰀘・imkf〕
塞	〔宀󰀀八土・pawf〕
暴	〔日󰁺八氺・jawi〕
谢	〔讠丿󰀽寸・ytmf〕
宝	〔宀王丶󰁧・pgyu〕
圈	〔囗䒑大⺋・ludb〕
招	〔扌刀口󰀝・rvkg〕
彩	〔爫木彡ノ・eset〕
闻	〔门耳󰀌・ubd〕
胶	〔月亠八乂・eywr〕
残	〔一夕二丶・gqfy〕
遭	〔一ㄇ󰁺辶・gmap〕
爷	〔八乂ㄗ󰀬・wrbj〕
斜	〔人一木十・wgsf〕
警	〔艹勹口言・aqky〕
揭	〔扌日勹󰄃・rjqn〕
鱼	〔󰁢一󰀘・qgf〕
释	〔丿米又󰀟・tocg〕
倾	〔亻󰁴丆贝・wxdm〕
潮	〔氵十日月・ifje〕
贯	〔󰅂十贝󰁧・xfmu〕
偏	〔亻丶尸艹・wyna〕
摇	〔扌爫󰅎山・rerm〕
监	〔〢𠂉丶皿・jtyl〕
购	〔贝勹厶󰁶・mqcy〕
徐	〔彳人一木・twgs〕
付	〔亻寸󰁶・wfy〕
灰	〔火󰁧・dou〕
园	〔囗二儿󰁫・lfqv〕
摆	〔扌罒土厶・rlfc〕
殊	〔一夕󰅎󰅇・gqri〕
蒸	〔艹了󰀩灬・abio〕
碎	〔石亠人十・dywf〕
糖	〔米广󰁬口・oovk〕
词	〔讠𠃌一口・yngk〕
耗	〔三󰅇丿乚・ditn〕
赞	〔丿土儿贝・tfqm〕
炮	〔火勹巳󰁀・oqnn〕
吴	〔口一大󰁧・kgdu〕
愈	〔人一月心・wgen〕
堆	〔土亻󰁷󰀝・fwyg〕
骨	〔󰀾月󰀘・mef〕
凯	〔山󰁁几󰁀・mnwn〕
午	〔𠂉十󰀬・tfj〕
桥	〔木丿大󰀯・stdj〕
巨	〔匚󰁃󰀌・and〕
救	〔一氺丶夂・giyt〕
荣	〔艹冖木󰁧・apsu〕
纷	〔纟八刀ノ・xwvt〕
秦	〔三人禾󰁧・dwtu〕
订	〔讠丁󰀢・ysh〕
旋	〔方𠂉乛󰁾・ytnh〕
割	〔宀三丨刂・pdhj〕
侧	〔亻贝刂󰀢・wmjh〕
纤	〔纟丿十󰀢・xtfh〕
凡	〔几丶󰀦・wyi〕
亡	〔亠󰄃󰁫・ynv〕
杆	〔木干󰀢・sfh〕
弦	〔弓亠ㄠ󰁶・xyxy〕
馆	〔⺈󰁐宀󰁃・qnpn〕
恩	〔囗大心󰁧・ldnu〕
宋	〔宀木󰁧・psu〕
妇	〔女彐󰀝・vvg〕
吹	〔口⺈人󰁶・kqwy〕
男	〔田力󰁣・ler〕
版	〔丿丨一又・thgc〕
禁	〔木木二小・ssfi〕
繁	〔𠂉母夂小・txti〕
滑	〔氵󰀾月󰀝・imeg〕
败	〔贝夂󰁶・mty〕
捕	〔扌一月丶・rgey〕
择	〔扌又󰀟󰀢・rcgh〕
唐	〔广󰁬丨口・ovhk〕
播	〔扌丿米田・rtol〕
爸	〔八乂巴󰀅・wrcb〕
泥	〔氵尸匕󰁀・inxn〕
跳	〔口止儿󰀪・khqi〕
君	〔󰁬丿口󰀌・vtkf〕
湾	〔氵亠󰁗弓・iyox〕
碳	〔石山火・dmdo〕
综	〔纟宀二小・xpfi〕
废	〔广ㄥ丿丶・onty〕
庄	〔广土󰀌・ofd〕
吨	〔口一凵乚・kgbn〕
库	〔广车󰀵・olk〕
睛	〔目主月󰀝・hgeg〕
楼	〔木米女󰀝・sovg〕
麻	〔广木木󰀦・ossi〕
涉	〔氵止󰀤ノ・ihht〕
尺	〔尸󰂃󰀦・nyi〕
剥	〔󰁭氺刂󰀢・vijh〕
伙	〔亻火󰁶・woy〕
麦	〔主夂󰁧・gtu〕
坦	〔土日一󰀝・fjgg〕
嘴	〔口止匕丨・khxh〕
鸡	〔又勹丶一・cqyg〕
耳	〔耳一丨一・bghg〕
荷	〔艹亻丁口・awsk〕
赛	〔宀󰀀八贝・pawm〕
肥	〔月巴󰁀・ecn〕
岸	〔山厂干󰀬・mdfj〕
谷	〔八人口󰀘・wwkf〕
扎	〔扌乚󰁀・rnn〕
铜	〔钅冂一口・qmgk〕
街	〔彳土土丁・tffs〕
店	〔广󰀥口󰀌・ohkd〕
冬	〔夂󰁦󰁧・tuu〕
炉	〔火丶尸ノ・oynt〕
姑	〔女古󰀝・vdg〕
恢	〔忄火󰁶・ndoy〕
彪	〔󰅋七几彡・hawe〕
惯	〔忄󰅂十贝・nxfm〕
朗	〔丶彐厶月・yvce〕
秀	〔禾乃󰁣・tbr〕
勇	〔󰁻月丨力・cehe〕
驻	〔󰀊󰀞丶王・cgyg〕
贺	〔力口贝󰁧・ekmu〕
肯	〔止月󰀘・hef〕
舞	〔󰅎󰀷一丨・rlgh〕
蒙	〔艹冖二󰀓・apfe〕
昌	〔日日󰀘・jjf〕
粗	〔米󰀐一󰀝・oegg〕
抵	〔扌󰁚󰀁丶・rqay〕
贸	〔󰁚丶刀贝・qyvm〕
亿	〔亻乙󰁀・wnn〕
俄	〔亻丿扌丶・wtry〕
键	〔钅󰁬󰀟廴・qvgp〕
您	〔亻⺈小心・wqin〕
旅	〔方𠂉󰀕󰁶・ytey〕
登	〔癶一口䒑・wgku〕
壁	〔尸口立土・nkuf〕
乘	〔禾丬匕󰁫・tuxv〕
井	〔二󰀯󰀵・fjk〕
闪	〔门人󰀦・uwi〕
湿	〔氵日󰅊一・ijog〕
缓	〔纟爫一又・xegc〕
洪	〔氵󰁺八󰁶・iawy〕
秘	〔禾心丿ノ・tntt〕
芳	〔艹方󰁣・ayr〕
汗	〔氵干󰀢・ifh〕
闭	〔门󰀛丿󰀏・ufte〕
卜	〔卜丨丶・hhy〕
毕	〔󰁴匕十󰀬・xxfj〕
莫	〔艹日大󰁧・ajdu〕
津	〔氵󰁬󰀟󰀢・ivgh〕
挂	〔扌土土󰀝・rffg〕
逃	〔儿󰀪辶󰀦・qipi〕
磨	〔广木木石・ossd〕
蛋	〔乛󰁾虫󰁧・nhju〕
股	〔月几又󰁶・ewcy〕
黎	〔禾勹丿氺・tqti〕
塔	〔土艹人口・fawk〕
塑	〔䒑凵丿土・ubtf〕
贡	〔工贝󰁧・amu〕
港	〔氵󰁺八巳・iawn〕
腐	〔广亻寸人・owfw〕
筑	〔⺮工几丶・tawy〕
冰	〔冫水󰁶・uiy〕
净	〔冫⺈󰁬亅・uqvh〕
健	〔亻󰁬󰀟廴・wvgp〕
殖	〔一夕十󰀣・gqfh〕
婚	〔女󰁚弋日・vqaj〕
奴	〔女又󰁶・vcy〕
插	〔扌丿十臼・rtfe〕
辩	〔立讠十・udyf〕
纺	〔纟方ノ・xyt〕
刺	〔一冂󰅇刂・gmij〕
啦	〔口扌立󰀝・krug〕
勒	〔廿口十力・akfe〕
援	〔扌爫一又・regc〕
像	〔亻⺈口󰀓・wqke〕
仪	〔亻丶乂󰁶・wyry〕
萨	〔艹阝立丿・abut〕
徒	〔彳土󰁾󰁶・tfhy〕
弄	〔王廾󰀬・gaj〕
浪	〔氵丶彐󰀖・iyve〕
陷	〔阝⺈臼󰀝・bqeg〕
汇	〔氵匚󰁀・ian〕
函	〔了󰀪凵󰀵・bibk〕
休	〔亻木󰁶・wsy〕
炼	〔火󰀂𠃌八・oanw〕
舍	〔人干口󰀘・wfkf〕
坡	〔土󰅌又󰁶・fhcy〕
岛	〔勹丶ㄅ山・qynm〕
猪	〔犭ノ土日・qtfj〕
郭	〔亠口孑阝・ykbb〕
隔	〔阝一口丨・bgkh〕
氯	〔󰅎⺄󰁭氺・rnvi〕
忘	〔亠󰄃心󰁧・ynnu〕
尖	〔小大󰁧・idu〕
伏	〔亻大丶󰁶・wdyy〕
浮	〔氵爫子󰀝・iebg〕
虚	〔󰅋七󰅊一・haog〕
朋	〔月月󰀝・eeg〕
授	〔扌爫冖又・repc〕
玻	〔王󰅌又󰁶・ghcy〕
睡	〔目丿十一・htfg〕
障	〔阝立日十・bujf〕
辛	〔立十󰀬・ufj〕
碱	〔石厂一丶・ddgy〕
贫	〔八刀贝󰁧・wvmu〕
岩	〔山石󰀘・mdf〕
泪	〔氵目󰀝・ihg〕
臣	〔匚丨󰁃丨・ahnh〕
疑	〔匕𠂉大󰁾・xtdh〕
滚	〔氵亠八󰀔・iywe〕
壮	〔丬士󰀝・ufg〕
梁	〔氵刀八木・ivws〕
荡	〔艹氵ㄋ󰁤・ainr〕
启	〔丶尸口󰀌・ynkd〕
瑞	〔王山丆〢・gmdj〕
穷	〔宀八力󰁣・pwer〕
甘	〔艹二󰀌・afd〕
箱	〔⺮木目󰀘・tshf〕
童	〔立日土󰀘・ujff〕
淡	〔氵火火󰁶・iooy〕
峰	〔山夂三丨・mtdh〕
纲	〔纟冂乂󰁶・xmry〕
牙	〔󰀂亅丿󰀏・ahte〕
怪	〔忄又土󰀝・ncfg〕
佛	〔亻弓󰀯󰀢・wxjh〕
脂	〔月匕日󰀝・exjg〕
炸	〔火𠂉丨二・othf〕
幸	〔土䒑十󰀬・fufj〕
截	〔土亻󰁷丶・fwyy〕
牧	〔牜夂󰁶・tty〕
售	〔亻󰁷口󰀘・wykf〕
蓝	〔艹〢𠂉皿・ajtl〕
镜	〔钅立日儿・qujq〕
震	〔󰀙厂二󰀖・fdfe〕
罢	〔罒土厶󰁧・lfcu〕
锅	〔钅口冂人・qkmw〕
绕	〔纟弋丿儿・xatq〕
软	〔车⺈人󰁶・lqwy〕
拥	〔扌月丨󰀢・rehh〕
尊	〔丷西一寸・usgf〕
豆	〔一口䒑󰀘・gkuf〕
礼	〔礻󰁶乚󰁀・pynn〕
剩	〔禾丬匕刂・tuxj〕
擦	〔扌宀󰁯小・rpwi〕
耕	〔三󰅇二󰀯・difj〕
颜	〔立丿彡贝・utem〕
泰	〔三人氺󰁧・dwiu〕
菌	〔艹囗禾󰁧・altu〕
绩	〔纟主贝󰁶・xgmy〕
勤	〔廿口主力・akge〕
竹	〔𠂉丨𠂉亅・thth〕
拖	〔扌𠂉也󰁀・rtbn〕
尤	〔乚丶󰀦・dnyi〕
伍	〔亻五󰀝・wgg〕
匀	〔勹冫󰀌・qud〕
锋	〔钅夂三丨・qtdh〕
爆	〔火日󰁺氺・ojai〕
刊	〔干刂󰀢・fjh〕
姓	〔女丿主󰀝・vtgg〕
仿	〔亻方ノ・wyt〕
尾	〔尸丿二乚・ntfn〕
脉	〔月丶𠃌󰀩・eyni〕
违	〔二𠃌丨辶・fnhp〕
欲	〔八人口人・wwkw〕
筒	〔⺮冂一口・tmgk〕
洞	〔氵冂一口・imgk〕
璃	〔王亠乂厶・gyrc〕
墨	〔󰀹土灬土・lfof〕
默	〔󰀹土灬丶・lfoy〕
邦	〔三丿阝󰀢・dtbh〕
稍	〔禾⺌月󰀝・tieg〕
丽	〔一冂丶丶・gmyy〕
珠	〔王󰅎󰅇󰁶・griy〕
梅	〔木𠂉母󰁶・stxy〕
喝	〔口日勹󰄃・kjqn〕
币	〔丿冂丨󰀵・tmhk〕
窗	〔宀八丿夕・pwtq〕
氏	〔󰁚弋󰁫・qav〕
潜	〔氵二人日・ifwj〕
抱	〔扌勹巳󰁀・rqnn〕
森	〔木木木󰁧・sssu〕
袖	〔衤󰁧由󰀝・pumg〕
喊	〔口厂一丶・kdgy〕
毁	〔臼工几又・eawc〕
艰	〔又彐󰀖󰁶・cvey〕
挑	〔扌儿󰀪󰁶・rqiy〕
焦	〔亻󰁷灬󰁧・wyou〕
灾	〔宀火󰁧・pou〕
泡	〔氵勹巳󰁀・iqnn〕
摩	〔广木木手・ossr〕
夹	〔一丷大󰀦・gudi〕
枝	〔木十又󰁶・sfcy〕
埃	〔土厶𠂉大・fctd〕
呈	〔口王󰀘・kgf〕
咱	〔口丿目󰀝・kthg〕
描	〔扌艹田󰀝・ralg〕
池	〔氵也󰁀・ibn〕
姐	〔女󰀐一󰀝・vegg〕
寒	〔宀󰀀八󰁦・pawu〕
宫	〔宀口口󰀘・pkkf〕
戴	〔土田󰁺丶・flay〕
赤	〔土󰁖󰁧・fou〕
腰	〔月覀女󰀝・esvg〕
寸	〔寸一亅丶・fghy〕
敬	〔艹勹口夂・aqkt〕
懂	〔忄艹丿土・natf〕
忆	〔忄乙󰁀・nnn〕
洁	〔氵士口󰀝・ifkg〕
丹	〔󰀼亠󰀌・myd〕
渡	〔氵广廿又・ioac〕
跃	〔口止丿大・khtd〕
贝	〔贝丨󰁈丶・mhny〕
碰	〔石䒑󰅊一・duog〕
凝	〔冫匕𠂉󰁾・uxth〕
诸	〔讠土丿日・yftj〕
励	〔厂一󰁡力・dgqe〕
幕	〔艹日大丨・ajdh〕
柱	〔木丶王󰀝・sygg〕
奖	〔丬夕大󰁧・uqdu〕
缘	〔纟󰅂一󰀓・xxge〕
奶	〔女乃ノ・vbt〕
智	〔𠂉大口日・tdkj〕
污	〔氵二ㄅ󰁀・ifnn〕
奔	〔大十廾󰀬・dfaj〕
扫	〔扌彐󰀝・rvg〕
隶	〔󰁬氺󰀦・vii〕
网	〔冂乂乂󰀦・mrri〕
饱	〔⺈󰁐勹巳・qnqn〕
魏	〔禾女白厶・tvrc〕
